	0|1495118176.003682|1495118177.003682
100|0x12d4|1495118177.075025000|794
100|0x12d5|1495118177.075552000|794
100|0x12d6|1495118177.075557000|794
100|0x12d7|1495118177.076071000|794
100|0x12d8|1495118177.076075000|794
100|0x12d9|1495118177.076494000|794
100|0x12da|1495118177.076523000|794
100|0x12db|1495118177.076971000|794
100|0x12dc|1495118177.076976000|794
100|0x12dd|1495118177.077382000|794
100|0x12de|1495118177.077411000|794
100|0x12df|1495118177.077860000|794
100|0x12e0|1495118177.077864000|794
100|0x12e1|1495118177.078351000|794
100|0x12e2|1495118177.078355000|794
100|0x12e3|1495118177.078775000|794
100|0x12e4|1495118177.078817000|794
100|0x12e5|1495118177.079243000|794
100|0x12e6|1495118177.079271000|794
100|0x12e7|1495118177.079692000|794
100|0x12e8|1495118177.079769000|794
100|0x12e9|1495118177.080141000|794
100|0x12ea|1495118177.080171000|794
100|0x12eb|1495118177.080588000|794
100|0x12ec|1495118177.080616000|794
100|0x12ed|1495118177.081033000|794
100|0x12ee|1495118177.081062000|794
100|0x12ef|1495118177.081465000|794
100|0x12f0|1495118177.081495000|794
100|0x12f1|1495118177.081896000|794
100|0x12f2|1495118177.081929000|794
100|0x12f3|1495118177.082363000|794
100|0x12f4|1495118177.082394000|794
100|0x12f5|1495118177.082808000|794
100|0x12f6|1495118177.082839000|794
100|0x12f7|1495118177.083252000|794
100|0x12f8|1495118177.083282000|794
100|0x12f9|1495118177.083686000|794
100|0x12fa|1495118177.083717000|794
100|0x12fb|1495118177.084168000|794
100|0x12fc|1495118177.084173000|794
100|0x12fd|1495118177.084583000|794
100|0x12fe|1495118177.084587000|794
100|0x12ff|1495118177.085022000|794
100|0x1300|1495118177.085026000|794
100|0x1301|1495118177.085431000|794
100|0x1302|1495118177.085435000|794
100|0x1303|1495118177.085836000|794
100|0x1304|1495118177.085841000|794
100|0x1305|1495118177.086244000|794
100|0x1306|1495118177.086249000|794
100|0x1307|1495118177.086649000|794
100|0x1308|1495118177.086653000|794
100|0x1309|1495118177.087061000|794
100|0x130a|1495118177.087066000|794
100|0x130b|1495118177.087469000|794
100|0x130c|1495118177.087473000|794
100|0x130d|1495118177.087881000|794
100|0x130e|1495118177.087885000|794
100|0x130f|1495118177.088324000|794
100|0x1310|1495118177.088329000|794
100|0x1311|1495118177.088766000|794
100|0x1312|1495118177.088770000|794
100|0x1313|1495118177.089190000|446
200|0xdc8a|1495118177.104731000|794
200|0xdc8b|1495118177.104736000|794
200|0xdc8c|1495118177.105373000|794
200|0xdc8d|1495118177.105380000|794
200|0xdc8e|1495118177.105952000|794
200|0xdc8f|1495118177.105957000|794
200|0xdc90|1495118177.106526000|794
200|0xdc91|1495118177.106531000|794
200|0xdc92|1495118177.107056000|794
200|0xdc93|1495118177.107060000|794
200|0xdc94|1495118177.107556000|794
200|0xdc95|1495118177.107560000|794
200|0xdc96|1495118177.108095000|794
200|0xdc97|1495118177.108100000|794
200|0xdc98|1495118177.108704000|794
200|0xdc99|1495118177.108709000|794
200|0xdc9a|1495118177.109160000|794
200|0xdc9b|1495118177.109163000|794
200|0xdc9c|1495118177.109635000|794
200|0xdc9d|1495118177.109638000|794
200|0xdc9e|1495118177.110117000|794
200|0xdc9f|1495118177.110120000|794
200|0xdca0|1495118177.110599000|794
200|0xdca1|1495118177.110603000|794
200|0xdca2|1495118177.111076000|794
200|0xdca3|1495118177.111079000|794
200|0xdca4|1495118177.111576000|794
200|0xdca5|1495118177.111579000|794
200|0xdca6|1495118177.112024000|794
200|0xdca7|1495118177.112027000|794
200|0xdca8|1495118177.112511000|794
200|0xdca9|1495118177.112515000|794
200|0xdcaa|1495118177.112943000|794
200|0xdcab|1495118177.112948000|794
200|0xdcac|1495118177.113375000|794
200|0xdcad|1495118177.113379000|794
200|0xdcae|1495118177.113803000|794
200|0xdcaf|1495118177.113807000|794
200|0xdcb0|1495118177.114249000|794
200|0xdcb1|1495118177.114252000|794
200|0xdcb2|1495118177.114692000|794
200|0xdcb3|1495118177.114695000|794
200|0xdcb4|1495118177.115135000|794
200|0xdcb5|1495118177.115139000|794
200|0xdcb6|1495118177.115575000|794
200|0xdcb7|1495118177.115579000|794
200|0xdcb8|1495118177.116013000|794
200|0xdcb9|1495118177.116017000|794
200|0xdcba|1495118177.116474000|794
200|0xdcbb|1495118177.116478000|794
200|0xdcbc|1495118177.116908000|794
200|0xdcbd|1495118177.116912000|794
200|0xdcbe|1495118177.117327000|794
200|0xdcbf|1495118177.117330000|794
200|0xdcc0|1495118177.117742000|794
200|0xdcc1|1495118177.117745000|794
200|0xdcc2|1495118177.118157000|794
200|0xdcc3|1495118177.118161000|794
200|0xdcc4|1495118177.118573000|794
200|0xdcc5|1495118177.118576000|794
200|0xdcc6|1495118177.118978000|794
200|0xdcc7|1495118177.118981000|794
200|0xdcc8|1495118177.119411000|794
200|0xdcc9|1495118177.119414000|794
200|0xdcca|1495118177.119847000|794
200|0xdccb|1495118177.119850000|794
200|0xdccc|1495118177.120239000|794
200|0xdccd|1495118177.120271000|794
200|0xdcce|1495118177.120691000|794
